data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,output
5,175,A,70.002,2903,1,0.279272014,1,M,p,52.89329414
1,184,C,28.11262498,1051,1,4.769339833,2,M,p,67.87070231
2,238,C,22.02855302,2884,1,7.340490638,2,M,p,76.76618835
1,121,F,11.78128158,1308,1,5.787171738,2,M,p,41.59032516
5,133,B,24.89248041,1236,1,6.042208183,1,M,p,60.04544056
6,284,B,10.6090504,2626,1,5.623761143,0,M,p,77.9719065
3,159,F,28.82161495,1276,1,4.87204544,2,M,p,65.61149889
0,128,E,29.54617932,2181,,,2,M,p,57.21908336
9,250,D,29.80707309,2242,1,4.550350533,1,M,p,90.37671632
7,288,B,14.71038169,1321,1,8.759262578,1,M,p,86.59860609
2,219,A,25.58947567,1539,,7.085797231,2,M,p,75.91632534
1,282,B,25.12864271,1996,1,2.967269861,1,M,p,82.9830483
3,172,A,28.14636062,2262,1,9.871408371,0,M,p,72.60313293
0,221,G,23.03986136,4,1,6.177242828,2,M,p,71.11311805
9,150,C,11.32612059,2473,1,6.028053999,2,M,p,55.22156253
9,102,G,28.33987977,1955,1,2.84675634,1,M,p,57.75264813
6,178,G,10.79294072,1219,1,9.973828827,2,M,p,61.28747547
7,178,B,29.75609663,1020,1,9.269032599,0,M,p,78.64951957
9,195,F,24.24664647,1797,1,7.038083536,0,M,p,76.86006536
1,218,D,10.69917569,2564,1,2.464990816,1,M,p,56.69424894
7,100,C,23.07859706,2201,1,3.381682642,2,M,p,51.15242
5,100,B,25.49014293,2979,1,4.073040096,1,M,p,52.01416873
0,152,G,24.57826241,2968,1,7.293119602,2,M,p,59.81355577
0,107,E,17.62214189,1348,1,6.370954997,0,M,p,43.6308827
1,128,G,24.81039323,2592,1,7.328855258,0,M,p,56.25820917
7,132,H,26.78642017,1363,1,7.066773351,1,M,p,64.57455151
2,265,B,17.25204515,2899,1,3.015273148,1,M,p,73.54211378
7,208,C,15.36498466,1466,1,3.849874164,0,M,p,66.27836035
8,178,F,12.59446726,1843,1,9.645350207,0,M,p,64.58037074
3,128,F,23.66888165,1367,1,3.456982847,0,M,p,53.35897633
6,210,C,13.19709948,1620,1,0.903409002,2,M,p,60.78079853
5,165,G,23.42332064,2318,1,4.506384391,1,M,p,63.58737297
6,281,B,13.55975667,1010,1,2.432878513,0,M,p,76.83665952
5,289,B,12.57303957,2445,1,8.448641942,2,M,p,82.56437755
0,196,B,29.3330311,1942,1,4.182797243,2,M,p,69.78252523
0,269,D,12.13211979,2249,1,0.419583467,2,M,p,65.13849128
6,149,F,28.7885065,1233,1,8.317814023,1,M,p,70.02746987
0,139,G,11.88750291,2104,1,9.78161096,0,M,p,48.28036358
5,148,C,28.74646429,2048,1,2.22110159,1,M,p,62.69291945
1,177,D,27.31322943,1619,1,4.02112145,2,M,p,65.00302794
8,229,C,18.01826631,1939,1,7.562765405,2,M,p,77.57920508
3,254,G,27.86133125,1500,1,0.2567249,1,M,p,79.13192302
0,113,B,11.47513943,2496,1,1.945451618,1,M,p,34.8730771
8,123,C,12.25677398,1720,1,6.789389413,2,M,p,50.42048599
3,189,A,12.46643679,1431,1,9.455832849,0,M,p,61.47562596
8,240,E,26.23831095,1506,1,6.048791664,1,M,p,85.66327152
8,232,H,26.84959349,2987,1,4.626781744,2,M,p,83.19141588
3,213,B,21.64190489,1868,1,6.951829898,2,M,p,72.0295443
6,149,F,0,2566,1,4.661886332,2,M,p,60.30832827
1,129,B,29.53827904,2515,1,5.41377809,1,M,p,58.79822922
6,231,C,11.71653975,2935,1,8.879548667,2,M,p,71.62443444
3,191,G,18.775536,1044,1,5.479320985,2,M,p,63.57730339
1,219,B,24.10223448,2526,1,0.593084949,0,M,p,67.08509598
0,119,A,25.28504684,2433,1,7.535075168,0,M,p,54.09161732
3,280,C,20.47557749,1145,1,9.807610467,1,M,p,87.23563021
1,246,D,12.59916982,2512,1,2.452000546,0,M,p,63.99125338
3,128,F,10.10712032,2124,1,7.413047403,1,M,p,45.10945569
3,150,C,21.03217289,1870,1,4.535118447,2,M,p,56.46407405
6,139,D,17.06259039,2636,1,8.991646414,0,M,p,58.14797777
9,251,G,18.06473551,2209,1,5.728148683,1,M,p,81.18641064
7,234,E,11.59718304,1878,1,2.736719472,1,M,p,66.97418421
6,198,C,25.34467851,2961,1,6.996338257,1,M,p,75.40654892
0,169,G,15.78078098,1311,1,4.473584325,2,M,p,52.47628721
4,157,A,27.00005879,2223,1,9.685225814,1,M,p,69.38527872
2,175,F,13.22032074,2964,1,6.86173106,0,M,p,55.76001973
9,284,E,19.2812831,2524,1,6.34029702,1,M,p,89.49345181
9,281,C,21.18108361,2227,1,1.790547639,0,M,p,86.05352289
8,173,A,25.95149122,1075,1,7.211135288,0,M,p,73.16747739
8,170,A,26.62594873,2918,1,1.776044078,1,M,p,67.73939793
4,227,E,13.66537677,1525,1,4.3918942,2,M,p,66.0907333
8,133,G,13.68895698,2555,1,9.922142392,2,M,p,56.84220367
7,232,H,28.82501034,1589,1,2.849857165,1,M,p,82.19236647
1,200,F,14.19981788,2010,1,4.275141191,2,M,p,58.05497729
3,240,D,29.64997027,1423,1,2.394587537,1,M,p,80.07956078
2,282,F,16.78219396,2510,1,1.076297416,2,M,p,74.58027198
5,275,A,14.37560776,2314,1,6.703137539,2,M,p,79.64118452
7,199,F,26.1562055,2685,1,6.626179358,1,M,p,76.96676431
6,212,D,29.65314661,2409,1,9.847679694,2,M,p,84.93551165
9,100,G,20.39661178,1971,1,5.267231285,2,M,p,52.62418189
2,152,B,13.63462271,1998,1,8.325515447,0,M,p,52.99667588
8,287,G,10.60768864,1594,1,5.868160909,0,M,p,80.81508068
8,235,C,24.69767733,1515,1,8.10771095,2,M,p,85.33562055
5,101,D,13.27722901,2070,1,7.54735317,1,M,p,44.69685927
8,222,B,22.18146766,1344,1,9.054062668,0,M,p,81.41738356
5,190,C,20.90468771,1181,1,7.588841345,0,M,p,69.40306028
6,190,H,27.97104193,2756,1,7.127728225,1,M,p,76.30166597
6,203,A,10.95408007,1785,1,9.073241753,2,M,p,65.53191381
5,142,C,20.79868059,1147,1,8.06998473,1,M,p,60.18879726
8,292,B,23.41818658,2514,1,7.484808036,0,M,p,94.96117596
5,179,C,25.67390011,1588,1,7.436772495,1,M,p,71.3432826
5,276,E,26.53445832,1403,1,5.206407893,0,M,p,89.28742038
3,193,H,24.96452777,1158,1,7.44015676,2,M,p,71.50823175
4,125,A,23.86463233,2507,1,0.52178976,0,M,p,50.99995885
1,115,A,22.55919528,1330,1,2.345194971,2,M,p,46.64847073
5,241,E,16.9582585,1498,1,0.905430122,0,M,p,69.36786277
8,294,B,10.68074376,1015,1,0.320969679,2,M,p,76.73363907
5,293,A,28.47581202,2675,1,3.374713905,0,M,p,92.60294472
0,208,E,23.61373705,2320,1,9.741393019,0,M,p,72.59375637
7,262,E,10.02300358,1513,1,7.500962248,2,M,p,75.92166547
4,290,H,10.19373187,1232,1,2.801817867,2,M,p,73.97617655
3,245,E,28.64065678,1978,1,0.754708238,2,M,p,78.53129934
2,109,B,25.66112829,2276,1,4.897154445,1,M,p,51.79216991
6,228,E,10.33775396,2405,1,0.196791865,1,M,p,61.10077043
4,145,F,10.73822555,2519,1,0.207858539,0,M,p,42.87226154
2,165,B,23.34799641,1217,1,9.989754934,0,M,p,66.0029517
3,230,E,28.52419268,1438,1,9.333462991,1,M,p,84.0052364
5,204,A,29.91691024,1903,1,8.87830631,0,M,p,81.60352552
6,119,A,14.57615019,1673,1,9.055150912,1,M,p,51.97368609
4,222,B,29.29797651,1500,1,6.64229642,0,M,p,81.41047528
5,299,F,28.82848123,1690,1,2.038067359,2,M,p,92.78370047
9,160,C,25.8210868,2186,1,7.322127198,0,M,p,71.56110532
3,283,B,27.06243556,2569,1,0.382273622,2,M,p,84.33846563
9,124,E,19.23680625,1510,1,5.694876799,1,M,p,56.80800242
0,207,A,28.39568902,2209,1,7.083347781,2,M,p,74.0394679
5,280,E,19.85682759,1958,1,0.79666051,2,M,p,79.66780534
3,222,G,22.81224294,1350,1,0.899818829,1,M,p,68.83083748
0,299,F,22.09146832,2847,1,3.572623993,0,M,p,83.25494548
6,210,A,18.64007728,1572,1,5.468086874,1,M,p,70.24415643
3,213,C,27.65428322,2091,1,7.289399952,0,M,p,77.77825485
6,175,B,27.63727523,2176,1,3.743768504,2,M,p,69.61731621
0,287,B,28.59683613,1187,1,9.323167341,1,M,p,92.46031986
5,289,E,14.74872809,2634,1,9.139288978,1,M,p,85.21314426
3,282,G,15.15910771,2577,1,5.190925028,1,M,p,78.23412197
7,132,A,27.40628659,2251,1,1.636813758,2,M,p,59.70247169
3,205,D,18.89991849,2141,1,4.117502552,2,M,p,65.1274292
8,112,C,11.26408774,1685,1,9.463849971,0,M,p,50.00152894
3,119,B,16.03708939,1501,1,9.160306044,2,M,p,50.3936865
4,189,C,26.52418937,2543,1,4.824155877,2,M,p,70.49592631
0,249,E,23.56695229,1522,1,6.972965674,0,M,p,77.98322274
2,124,H,29.61345411,1878,1,0.13710433,1,M,p,53.58921303
3,199,G,12.80526176,2304,1,9.171566921,2,M,p,63.49630251
0,263,G,17.4741929,2441,1,3.248071587,2,M,p,71.57484519
3,253,B,28.3317828,1909,1,4.550427689,0,M,p,83.64903221
7,170,G,16.14867791,2078,1,6.489940099,0,M,p,62.02375022
9,270,H,19.93008007,1918,1,6.297816779,0,M,p,87.23488884
5,259,C,24.90822917,1030,1,9.873079332,1,M,p,89.09048559
7,162,A,18.74604146,2493,1,7.821720363,1,M,p,64.09315768
4,104,A,13.29737301,2418,1,5.014307265,2,M,p,41.78194298
9,293,F,15.64878756,1021,1,7.770676884,0,M,p,89.45458568
8,203,E,27.64875509,1338,1,5.772393371,1,M,p,79.25627295
3,242,E,27.7137658,2263,1,8.806008054,2,M,p,85.14839727
6,261,F,22.39846386,2200,1,1.914207068,1,M,p,80.27282454
0,157,H,13.14089812,,,,,,,
8,180,A,19.60410513,1811,1,5.008268399,1,M,p,66.65196301
4,261,F,19.58739885,1522,1,4.471146338,0,M,p,78.2998053
1,219,E,13.52814008,1467,1,6.064430066,2,M,p,63.03975614
3,141,F,28.44657791,1752,1,9.799591338,2,M,p,66.60151145
4,224,D,12.90246631,2343,1,4.03166018,0,M,p,64.44387986
3,201,F,19.07221994,2458,1,7.459456604,2,M,p,67.82445455
5,204,E,19.91609714,1654,1,4.279300021,0,M,p,68.00378744
4,270,F,25.40004578,1209,1,9.771645317,2,M,p,90.63168652
4,277,D,23.64487945,1857,1,8.343350249,2,M,p,89.02374175
5,225,F,26.90831887,1579,1,6.772363075,0,M,p,80.98985006
6,228,A,26.71091649,1870,1,9.084056064,0,M,p,84.7238809
4,263,E,27.17398895,2594,1,3.749758021,2,M,p,84.80634807
2,170,A,16.90090922,1143,1,8.047438342,0,M,p,59.25825664
4,241,E,10.3888184,2360,1,7.910671284,0,M,p,69.46060784
6,249,F,21.13060659,2858,1,3.774287637,0,M,p,78.59183357
3,132,G,11.48514331,1000,1,1.176923347,2,M,p,40.91355232
1,103,D,21.5080341,1831,1,4.995490241,2,M,p,45.95272093
7,162,A,29.37806549,1098,1,2.736747966,1,M,p,68.57700691
8,206,F,26.36335568,1835,1,4.445429224,2,M,p,77.37244933
9,201,C,25.28040944,2415,1,2.215980885,0,M,p,74.16834938
4,103,G,13.74911202,2991,1,7.288192732,2,M,p,44.26239355
9,232,E,13.03377041,1395,1,1.567412234,2,M,p,68.6978056
3,267,A,10.12474709,1029,1,1.706901685,0,M,p,67.21917406
3,275,E,17.64481438,2581,1,7.831611482,1,M,p,81.71194443
4,113,E,17.08096569,2024,1,0.902526686,2,M,p,42.8753958
0,245,E,10.05043082,2532,1,1.546070421,0,M,p,59.59145816
9,127,G,18.34757981,2053,1,6.243000907,0,M,p,57.15582274
5,258,C,11.85807837,1158,1,4.96500482,1,M,p,72.23727535
1,222,E,13.46953735,2032,1,8.289831464,0,M,p,65.81241508
6,280,H,25.45949869,1145,1,9.294833062,0,M,p,94.20838189
2,287,G,17.34289581,1698,1,5.040355948,0,M,p,80.04896218
9,116,A,16.97890712,2955,1,7.545652703,1,M,p,55.02666911
2,204,G,10.88235615,1568,1,0.804496378,1,M,p,53.39861691
8,142,F,13.95673465,1034,1,7.634494687,1,M,p,56.59555588
1,176,C,26.55071938,2880,1,6.694412036,2,M,p,66.79005948
7,198,G,11.15499425,2122,1,5.266768476,1,M,p,61.9062633
9,195,F,15.07593842,1371,1,7.38878297,0,M,p,68.95712755
0,213,A,16.56872013,2386,1,4.793630516,0,M,p,62.30547863
4,291,G,27.68900665,2853,1,1.469386013,0,M,p,88.589492
0,161,H,29.17572942,2461,1,4.824445784,1,M,p,63.28260226
4,170,D,29.66949982,1815,1,0.450287462,0,M,p,65.1528373
5,126,F,17.41977617,1601,1,6.186872452,1,M,p,52.06467101
8,193,H,29.84297437,1511,1,6.849415417,2,M,p,80.30809235
8,173,G,17.35327395,1907,1,7.334988426,2,M,p,65.55293498
5,292,B,14.38606262,2721,1,1.68945919,1,M,p,78.03691555
3,120,H,21.8346329,1121,1,8.488584038,1,M,p,55.13975365
1,227,B,26.73632817,2387,1,2.608288752,2,M,p,73.0709841
0,226,D,24.81676781,1176,1,0.131108247,2,M,p,67.66619927
0,272,G,28.58484888,1009,1,6.893775143,1,M,p,87.02013913
3,228,H,10.47703785,2971,1,6.647120574,2,M,p,64.67645464
0,292,A,19.89485089,1465,1,4.148639783,1,M,p,80.45400559
5,157,G,27.15058426,2965,1,1.372789764,2,M,p,62.2083156
7,258,C,17.80537834,1917,1,2.097822164,0,M,p,76.72266267
5,129,D,26.2611235,2792,1,6.97539356,1,M,p,61.41040471
0,282,B,11.98554747,1518,1,4.350150364,1,M,p,71.53714309
7,108,E,11.04034192,2176,1,1.602498307,0,M,p,40.13880604
3,252,F,19.80994386,2505,1,6.704096762,0,M,p,77.93304624
4,268,D,17.67496971,1774,1,8.894061309,2,M,p,82.40153405
2,136,C,25.1434388,2353,1,1.555099744,1,M,p,53.38419466
3,218,C,22.66518465,2792,1,1.658595416,0,M,p,68.6572616
3,167,C,28.52571775,1149,1,2.777200342,2,M,p,64.85034632
4,242,E,26.91724364,1389,1,9.925960907,0,M,p,86.55148018
1,201,E,17.51950068,1224,1,3.624182729,2,M,p,60.59173335
8,272,F,10.76027688,1338,1,4.180061749,1,M,p,76.26431095
3,214,E,28.86306861,1387,1,3.561454927,1,M,p,75.33821668
7,102,A,26.75626526,1245,1,9.463993194,0,M,p,60.94463193
6,134,D,20.49392904,2067,1,0.423371267,0,M,p,51.6679074
8,216,D,25.51869573,1952,1,3.189157343,0,M,p,77.3559835
8,139,D,25.98598288,1920,1,8.985435812,1,M,p,68.17282041
0,266,D,11.62008106,1355,1,5.07802052,1,M,p,68.73609347
3,293,D,11.13930923,2164,1,3.272293719,1,M,p,74.89767202
0,214,D,24.92120492,1994,1,4.974628474,2,M,p,70.20371291
7,113,G,12.33937976,1487,1,2.711902805,1,M,p,43.41734459
5,241,C,27.88574789,2298,1,2.045049827,0,M,p,80.34222293
6,210,C,14.00946227,1956,1,0.524891355,1,M,p,61.1334074
0,294,E,19.84209786,2788,1,9.783486412,0,M,p,86.44137449
5,207,C,13.26423136,2290,1,2.156145873,1,M,p,60.4939541
0,185,B,22.81980523,1175,1,2.673810869,0,M,p,60.21163557
4,123,D,22.6986214,1427,1,0.472542429,2,M,p,49.50130169
7,219,H,17.80187058,2144,1,0.06230473,2,M,p,66.88398825
4,123,C,27.9732494,2443,1,3.340701318,1,M,p,57.11662578
6,120,H,21.77543441,1955,1,7.040357192,1,M,p,56.63824817
4,131,G,14.8269321,2523,1,5.048753908,2,M,p,48.59299279
2,227,E,25.90484643,2188,1,0.174667331,2,M,p,70.88902912
3,171,C,27.68848385,1643,1,8.564330512,0,M,p,70.68396597
0,137,C,26.25110688,1109,1,7.532389881,1,M,p,58.55838607
2,104,G,12.97680692,1086,1,0.430083529,0,M,p,34.90920976
1,189,C,18.01679153,1652,1,4.796902228,1,M,p,59.8120146
2,147,A,15.23244925,2687,1,7.923047071,0,M,p,53.0322514
0,135,D,15.09575933,2191,1,6.7122202,0,M,p,47.2984036
3,237,A,16.95724315,1574,1,7.307467908,1,M,p,72.96898674
2,277,F,28.54471988,1172,1,3.963047553,0,M,p,87.05329545
8,117,A,11.81805621,2426,1,8.072848297,2,M,p,50.10909888
2,106,H,10.49142061,2871,1,0.619561833,2,M,p,33.26184038
9,279,C,15.7759117,1594,1,4.423314114,1,M,p,83.42163465
1,239,F,28.50828017,2875,1,8.918979357,0,M,p,83.37643151
0,248,G,12.51546101,1435,1,6.036778692,1,M,p,66.9006936
2,284,F,19.98795206,1914,1,5.849219591,2,M,p,82.63837645
0,251,A,28.90393691,2548,1,9.987896017,2,M,p,86.20143924
7,200,A,22.57304265,2246,1,1.892680985,0,M,p,69.20841937
3,213,A,27.97290192,2659,1,2.435072368,2,M,p,73.21068409
3,233,A,17.98491024,2833,1,5.733534926,0,M,p,71.51995414
2,109,E,15.28897519,2388,1,1.467831753,1,M,p,39.02790943
0,183,E,22.58420739,1197,1,0.72538081,1,M,p,57.65116746
0,201,H,22.21193791,1356,1,2.09405485,0,M,p,62.28479897
9,115,D,19.34638927,1625,1,6.401515363,0,M,p,55.8132657
7,206,C,10.91518527,2687,1,1.999883322,1,M,p,60.02355006
0,254,A,27.4641882,2588,1,1.355847356,2,M,p,76.87361674
0,158,A,29.73394342,2099,1,6.476033339,1,M,p,64.83658241
0,282,D,19.07974559,1225,1,7.485267927,0,M,p,81.05703896
1,103,G,19.1723677,2512,1,7.609597259,2,M,p,46.46472819
7,167,G,21.85471504,1100,1,7.100703391,1,M,p,67.16994692
3,149,A,28.15054036,2574,1,6.602494197,0,M,p,64.73798052
4,274,A,21.97227048,1197,1,2.912544611,0,M,p,81.48758804
7,208,G,18.14261169,2726,1,9.566685497,0,M,p,74.49503602
4,165,B,18.07260966,1671,1,8.419393,1,M,p,61.68474169
6,191,F,18.54930323,2064,1,6.438136853,1,M,p,67.33250976
1,287,G,23.52143443,2504,1,9.281702882,1,M,p,88.85099387
8,231,H,22.82980045,2751,1,2.357060864,0,M,p,77.10388127
0,233,C,12.20732642,2076,1,0.072232029,2,M,p,57.6588258
2,269,D,21.02572213,2471,1,5.70894567,1,M,p,80.43209559
0,117,A,16.00257833,1195,1,9.451562309,1,M,p,47.25388281
1,271,F,21.68927194,2155,1,8.482685098,1,M,p,83.20302984
4,205,C,16.55202543,1276,1,8.096035132,2,M,p,67.99285801
1,198,G,20.29251822,2094,1,8.600852988,0,M,p,67.46411939
5,292,C,16.500301,1174,1,3.675560382,1,M,p,81.92583128
2,227,E,24.80146428,2327,1,7.063662475,2,M,p,76.78498033
1,257,G,11.13990807,2970,1,5.443723548,2,M,p,67.86964081
3,167,B,19.73713695,2423,1,6.260583747,2,M,p,60.42400701
9,107,A,14.73082742,1373,1,6.130347229,0,M,p,49.78809191
8,196,G,11.1112929,2792,1,8.645751714,1,M,p,65.84591533
6,177,C,23.24603957,1362,1,7.6570773,2,M,p,69.97851292
2,168,A,23.65167923,2219,1,5.385802497,1,M,p,62.2723138
4,279,A,15.58977324,1848,1,8.684402075,0,M,p,82.51519799
3,248,B,29.10349763,1688,1,2.623832974,1,M,p,81.41698084
2,103,A,22.43698439,1882,1,4.795419596,2,M,p,47.58870555
0,160,B,11.02044284,2568,1,9.417314952,0,M,p,51.33571351
7,294,C,14.9741603,2657,1,5.209457027,0,M,p,84.4862013
2,253,E,16.71324365,2519,1,4.805105166,0,M,p,72.44702445
0,189,F,20.46653152,1557,1,7.554375879,0,M,p,63.77425425
5,185,G,21.95110663,1807,1,0.508758977,0,M,p,62.26475494
7,132,B,19.10540188,2581,1,0.5992882,2,M,p,51.19414989
4,210,F,17.00001628,1182,1,6.21139668,0,M,p,67.51141133
7,225,G,28.73849548,2249,1,9.391971198,1,M,p,87.25661713
6,218,C,26.96477019,2943,1,1.597725177,0,M,p,75.46601835
7,110,D,29.77286484,1222,1,3.425305257,1,M,p,59.22088361
2,270,H,11.52823956,1861,1,5.420014265,2,M,p,71.79542987
1,205,E,27.63529459,2377,1,8.215568056,0,M,p,75.08733318
1,194,F,11.93121756,2718,1,9.368166764,0,M,p,59.90626256
1,286,A,12.44747814,1187,1,3.936934813,1,M,p,73.33966514
6,250,G,19.66003942,1705,1,2.865038771,0,M,p,76.55907425
4,139,A,12.08732003,1493,1,3.403072881,1,M,p,46.08166091
1,214,F,12.87546337,1948,1,3.425080626,0,M,p,58.81299766
7,115,G,12.52696997,2924,1,8.466026171,2,M,p,49.74029914
9,110,F,23.12826145,2661,1,1.576214315,2,M,p,53.39164962
0,160,E,13.6458495,2338,1,0.793150494,2,M,p,45.07441504
3,261,F,27.43808694,2813,1,9.120589883,0,M,p,89.01486813
1,248,E,16.05892408,1316,1,1.21001566,1,M,p,66.26304734
9,101,D,26.54973615,2336,1,0.63729619,2,M,p,53.73205873
3,251,H,17.88369842,1069,1,6.579439884,1,M,p,75.87476847
1,166,B,29.6751912,2029,1,8.567482723,2,M,p,69.4751548
3,213,A,26.71241204,2678,1,6.17461287,2,M,p,75.8157837
1,210,E,12.64427744,1581,1,3.285799988,1,M,p,57.66564968
0,200,A,29.48161149,2775,1,1.21934836,2,M,p,67.7527987
4,133,C,27.25978418,2428,1,8.022323512,0,M,p,63.15612927
2,227,E,17.58963343,1314,1,0.029931333,1,M,p,63.26060142
3,269,G,10.60271522,2217,1,7.780939319,0,M,p,74.12338301
6,251,E,19.4838966,2123,1,6.797800555,1,M,p,80.5333075
0,126,E,23.97293383,1437,1,6.444034113,1,M,p,53.21967456
9,165,H,13.8343331,2733,1,2.812802745,0,M,p,57.26370253
6,189,G,28.3776052,2829,1,1.486420406,0,M,p,70.82626508
9,261,H,16.1805545,2406,1,2.480752409,0,M,p,78.24325146
9,177,B,27.72691128,1206,1,1.524455094,0,M,p,70.87867524
9,114,E,10.82063338,2278,1,2.952629454,1,M,p,44.4911995
8,143,G,23.11236533,1531,1,6.252533479,1,M,p,63.65366228
9,186,B,17.14340554,2224,1,3.982012738,0,M,p,65.61107772
4,189,H,29.76923129,1485,1,5.067012924,2,M,p,73.65932108
3,151,A,21.753402,2055,1,8.53403361,1,M,p,61.31209541
4,298,H,19.2421677,2511,1,2.826701766,1,M,p,83.74465269
1,204,C,24.82747097,2113,1,6.572888894,2,M,p,70.71761277
7,121,E,28.88623522,1342,1,4.898397144,0,M,p,62.09600885
8,160,F,23.12405708,2476,1,6.055565489,1,M,p,66.86721686
9,168,F,14.18502565,1040,1,9.770643772,1,M,p,65.13716686
9,218,H,28.35345126,2345,1,2.512492225,0,M,p,80.63059836
2,264,G,15.33380734,2455,1,0.720178804,2,M,p,69.32060541
8,162,B,12.69840346,2810,1,6.771414746,1,M,p,58.59997786
5,292,G,25.46490381,2573,1,0.32809488,1,M,p,86.64650831
8,225,F,16.75882726,2535,1,2.175227096,2,M,p,70.25817163
5,110,F,14.02825961,1350,1,6.881141545,2,M,p,46.5065752
6,120,H,28.62405275,2119,1,0.995381253,0,M,p,56.75702873
8,238,F,27.54606374,2758,1,4.908755365,2,M,p,85.30021273
5,244,H,17.87332389,2845,1,7.847080426,0,M,p,77.73307192
7,243,E,20.39235683,1995,1,8.233154208,1,M,p,82.18627535
3,116,B,23.60192061,2380,1,2.046949392,2,M,p,49.48867794
2,229,F,22.76346296,2444,1,3.095366305,2,M,p,71.38248297
5,260,C,23.91402367,1585,1,0.711553691,0,M,p,79.23417499
2,178,F,14.80937493,2390,1,0.170523007,1,M,p,51.09896044
4,164,C,20.91291495,2170,1,7.779986414,2,M,p,63.40160987
6,150,E,22.23079703,2405,1,9.300143229,2,M,p,65.30786055
0,296,G,11.99472764,1311,1,7.359969986,1,M,p,77.35522487
2,114,F,26.91616393,2948,1,5.752358559,0,M,p,54.77690609
6,102,B,18.99189011,1524,1,9.431541925,1,M,p,52.92424303
5,181,F,17.6057427,1816,1,2.865713086,0,M,p,59.91088152
6,206,E,17.44272089,1722,1,6.6650217,1,M,p,69.5634705
7,272,E,18.48148317,1656,1,8.687686059,2,M,p,86.72102091
6,119,H,27.312425,2616,1,2.711759197,0,M,p,57.0929417
4,209,F,29.39306318,2973,1,0.786543318,1,M,p,73.04030018
4,273,B,15.01518314,2335,1,7.577621432,1,M,p,79.69128626
5,186,C,14.69877248,1593,1,7.907791029,0,M,p,63.33668626
8,261,E,21.40728063,1195,1,5.819941766,2,M,p,85.28649433
8,267,C,15.97238178,2003,1,5.111107074,2,M,p,80.88625068
0,160,A,23.1137306,1225,1,0.128430757,1,M,p,52.93078829
5,251,D,13.87707406,2248,1,4.387238844,0,M,p,72.07660549
4,152,B,23.00112147,2151,1,7.264693518,1,M,p,62.36570284
5,119,A,26.57453059,1109,1,0.331099462,1,M,p,53.04817699
2,242,A,27.3499277,1574,1,9.603022695,1,M,p,84.61795762
9,266,H,25.17182779,1232,1,3.274565332,2,M,p,88.12921034
0,220,D,19.76341162,2883,1,7.562939164,1,M,p,69.35000963
0,135,H,19.8294835,2260,1,1.092827116,1,M,p,45.93936227
0,251,H,23.44608027,2434,1,0.70801614,0,M,p,72.00948838
9,122,E,10.33136687,1631,1,2.810189657,1,M,p,45.50841984
6,298,D,25.08028576,2418,1,0.355393047,2,M,p,88.52765023
0,119,F,18.84660489,1421,1,9.604528836,0,M,p,50.36647324
